user ID,user__created_date,country,age,num_messages,num_active_days
228,2/2/2024,Nigeria,0,251,2
229,4/3/2024,Nigeria,16,506,3
230,4/24/2024,Ghana,15,482,6
231,2/21/2024,Ghana,18,494,3
232,3/7/2024,South Africa,17,285,2
233,2/13/2024,South Africa,18,117,2
234,2/5/2024,Nigeria,1,209,4
235,3/6/2024,South Africa,15,155,1
236,4/12/2024,Ghana,19,770,7
237,12/26/2023,South Africa,0,70,4
238,12/20/2023,Nigeria,19,172,3
239,3/20/2024,Nigeria,15,222,4
240,2/17/2024,Uganda,17,188,2
241,3/25/2023,Nigeria,0,194,3
242,3/18/2024,Nigeria,15,573,3
243,2/17/2024,Nigeria,12,251,4
244,12/13/2023,Ghana,18,52,2
245,1/3/2024,Ghana,17,110,4
246,1/7/2024,Ghana,13,150,4
247,5/4/2023,Nigeria,0,1519,13
248,4/10/2024,Ghana,15,262,3
249,2/2/2024,Ghana,17,138,2
250,4/6/2024,Nigeria,19,325,3
251,1/6/2024,Nigeria,16,177,2
252,1/4/2024,Nigeria,21,254,7
253,1/3/2024,Uganda,19,253,5
254,12/27/2023,Nigeria,15,160,1
255,3/25/2024,Nigeria,23,521,4
256,1/5/2024,Nigeria,15,167,3
257,4/9/2024,Nigeria,18,149,1
258,2/17/2024,Nigeria,20,1638,10
259,2/18/2024,South Africa,18,105,1
260,4/9/2024,Ghana,19,307,6
261,2/8/2024,Uganda,0,190,3
262,12/18/2023,Nigeria,17,467,9
263,4/7/2024,Ghana,16,328,5
264,3/22/2024,Mozambique,15,170,3
265,2/24/2024,Ghana,17,175,3
266,1/2/2024,Nigeria,19,63,1
267,2/13/2024,Uganda,19,173,1
268,2/6/2024,South Africa,11,635,2
269,4/11/2024,Ghana,0,157,3
270,2/17/2024,Nigeria,18,170,1
271,3/13/2024,Nigeria,16,1000,5
272,2/5/2024,Nigeria,20,109,2
273,4/20/2024,Ghana,14,498,8
274,3/13/2024,Ghana,15,413,4
275,12/30/2023,Ghana,17,183,4
276,3/4/2023,Nigeria,0,153,3
277,4/12/2024,Nigeria,18,119,1
278,3/21/2024,Nigeria,19,788,2
279,1/7/2024,Nigeria,15,61,1
280,4/6/2024,Ghana,0,433,4
281,4/24/2024,Nigeria,16,458,4
282,2/15/2024,Nigeria,24,329,1
283,2/16/2024,Ghana,12,235,3
284,2/15/2024,Kenya,16,819,6
285,2/5/2024,Kenya,17,244,6
286,2/13/2024,Ghana,9,867,2
287,4/24/2024,Ghana,15,94,1
288,2/22/2024,Kenya,19,161,1
289,4/9/2024,Nigeria,20,628,6
290,3/23/2024,Mozambique,13,2015,14
291,2/12/2024,Nigeria,18,178,1
292,7/17/2023,Ghana,19,316,5
293,2/25/2024,Nigeria,11,156,1
294,1/5/2024,Nigeria,19,127,1
295,2/15/2024,Nigeria,20,690,2
296,1/5/2024,Ghana,17,498,3
297,4/19/2023,Nigeria,0,464,3
298,5/17/2023,Ghana,0,534,8
299,12/25/2023,Uganda,13,56,2
300,2/18/2024,Nigeria,0,423,1
301,12/18/2023,Nigeria,15,87,1
302,2/20/2024,Ghana,20,782,7
303,2/12/2024,Nigeria,15,113,1
304,2/29/2024,Ghana,18,207,2
305,4/15/2024,Nigeria,14,751,3
306,4/23/2023,Nigeria,0,69,1
307,2/25/2024,Nigeria,15,768,4
308,3/18/2024,Nigeria,16,455,2
309,1/21/2023,Nigeria,0,47,2
310,3/13/2024,Nigeria,16,231,2
311,2/16/2024,Nigeria,11,212,2
312,1/2/2024,Nigeria,32,235,2
313,6/13/2023,Ghana,18,206,4
314,4/24/2023,Ghana,0,209,2
315,1/4/2024,Nigeria,15,104,1
316,4/17/2024,Ghana,16,1038,3
317,2/16/2024,Ghana,15,457,4
318,2/23/2024,Nigeria,0,219,2
319,2/23/2024,Nigeria,15,805,3
320,12/30/2023,Nigeria,18,211,1
321,2/14/2024,Ghana,17,111,1
322,4/17/2023,Ghana,18,405,3
323,12/30/2023,Ghana,18,219,3
324,2/24/2024,Nigeria,19,293,1
325,2/23/2024,South Africa,14,244,3
326,1/4/2024,Nigeria,13,91,1
327,3/15/2023,Ghana,0,442,5
328,1/7/2024,Ghana,19,101,1
329,2/28/2024,South Africa,14,153,1
330,2/29/2024,Nigeria,18,321,2
331,2/14/2024,Nigeria,13,423,2
332,4/18/2024,Ghana,20,235,3
333,1/7/2024,Kenya,17,64,1
334,1/2/2024,Nigeria,15,564,3
335,2/18/2024,Uganda,19,321,3
336,4/8/2024,Nigeria,16,459,3
337,4/12/2023,Ghana,0,1216,3
338,3/15/2023,Nigeria,19,133,3
339,1/1/2024,Uganda,15,524,3
340,2/12/2024,South Africa,17,199,3
341,4/9/2024,Nigeria,17,958,6
342,3/8/2024,Ghana,18,395,6
343,6/15/2023,Nigeria,18,185,2
344,4/11/2024,Nigeria,16,621,3
345,2/14/2024,Nigeria,18,582,6
346,4/9/2024,Nigeria,19,343,5
347,4/4/2024,Ghana,24,364,7
348,3/24/2024,Mozambique,14,463,4
349,1/7/2024,South Africa,16,149,2
350,1/2/2024,Nigeria,0,242,1
351,3/5/2024,South Africa,24,255,1
352,2/24/2024,Nigeria,20,1329,8
353,4/9/2024,Ghana,19,301,1
354,4/5/2024,Ghana,16,252,3
355,2/17/2024,Ghana,17,256,2
356,5/5/2023,Nigeria,0,374,4
357,3/18/2024,Nigeria,0,151,3
358,1/16/2024,Nigeria,33,163,2
359,6/24/2023,Nigeria,18,79,1
360,4/6/2024,Ghana,15,350,2
361,1/26/2023,Nigeria,0,175,2
362,4/26/2024,Nigeria,15,402,3
363,2/15/2024,Nigeria,20,362,4
364,2/18/2024,South Africa,13,136,1
365,3/6/2024,Ghana,14,469,2
366,6/8/2023,Nigeria,16,406,6
367,6/30/2023,Nigeria,14,85,4
368,3/7/2024,Ghana,19,228,3
369,4/25/2024,Australia,9,97,1
370,2/14/2024,South Africa,16,185,2
371,1/1/2024,Nigeria,18,452,6
372,12/18/2023,Ghana,17,100,5
373,2/22/2024,Nigeria,15,322,2
374,2/20/2024,Nigeria,19,212,2
375,#N/A,#N/A,#N/A,#N/A,#N/A
376,2/2/2024,Nigeria,17,310,2
377,2/25/2024,South Africa,15,122,1
378,1/12/2024,Nigeria,18,495,7
379,4/24/2024,Nigeria,0,469,4
380,4/20/2024,Nigeria,25,254,5
381,12/30/2023,Kenya,19,1584,13
382,4/20/2023,Nigeria,0,459,3
383,2/29/2024,South Africa,17,139,2
384,4/16/2023,Nigeria,0,602,4
385,2/24/2024,Nigeria,20,509,3
386,2/13/2024,Nigeria,18,295,1
387,1/23/2024,Ghana,14,270,8
388,4/29/2023,Nigeria,0,392,3
389,4/6/2024,Ghana,16,193,2
390,2/21/2024,Nigeria,0,162,1
391,4/12/2024,Nigeria,16,365,3
392,6/9/2023,Ghana,16,426,5
393,3/4/2024,Ghana,16,355,3
394,4/10/2024,Ghana,16,286,4
395,3/23/2024,Nigeria,20,146,3
396,12/21/2023,Nigeria,13,60,3
397,2/19/2024,South Africa,17,361,2
398,4/6/2024,Ghana,17,482,2
399,1/3/2024,Kenya,10,374,5
400,3/21/2024,Sierra Leone,20,367,4
401,12/17/2023,Nigeria,17,302,2
402,3/5/2024,Ghana,22,301,2
403,3/4/2024,Ghana,19,442,3
404,4/13/2024,Ghana,19,271,2
405,2/17/2024,Kenya,17,439,4
406,4/11/2024,Ghana,17,88,2
407,2/6/2024,Nigeria,22,839,5
408,2/22/2024,South Africa,16,218,1
409,3/24/2024,Mozambique,14,304,4
410,3/3/2024,South Africa,17,207,2
411,5/3/2023,Ghana,0,102,2
412,2/15/2024,South Africa,16,216,4
413,4/10/2024,Ghana,18,210,5
414,4/24/2024,Nigeria,15,159,1
415,3/5/2024,South Africa,14,906,8
416,2/15/2024,Ghana,16,312,1
417,12/24/2023,Kenya,18,61,1
418,12/30/2023,Ghana,0,955,5
419,2/15/2024,Nigeria,14,372,4
420,2/20/2023,Nigeria,0,315,4
421,12/29/2023,Nigeria,14,430,2
422,1/5/2024,Ghana,17,132,1
423,4/4/2024,Ghana,27,187,1
424,3/4/2024,Nigeria,18,235,2
425,4/5/2024,Nigeria,14,269,4
426,2/2/2024,Nigeria,18,684,3
427,2/15/2024,United States and Caribbean,13,93,1
428,2/2/2024,Nigeria,22,738,7
429,3/17/2024,Nigeria,19,208,2
430,3/3/2024,Uganda,18,344,3
431,2/6/2024,Kenya,14,159,6
432,11/10/2023,Ghana,0,165,1
433,2/18/2024,South Africa,18,265,2
434,4/11/2024,Kenya,16,210,4
435,5/26/2023,Ghana,0,318,5
436,2/29/2024,Ghana,15,705,7
437,2/22/2024,South Africa,0,165,1
438,3/16/2024,Nigeria,0,799,4
439,5/27/2023,Ghana,16,414,3
440,1/15/2024,Ghana,13,108,2
441,2/2/2024,Nigeria,18,940,5
442,12/30/2023,Nigeria,19,89,1
443,3/22/2024,Nigeria,18,337,3
